path,cwnd,free,timestamp
10.1.1.2:4242,11680,0,1621714788604551218
10.1.1.2:4242,11680,10330,1621714788604609028
10.1.1.2:4242,11680,8980,1621714788604670900
10.1.1.2:4242,11680,7630,1621714788604726991
10.1.1.2:4242,11680,6280,1621714788604788247
10.1.1.2:4242,11680,6226,1621714788604835730
10.1.1.2:4242,14600,5150,1621714788636240388
10.1.1.2:4242,16060,16060,1621714788645764192
10.1.1.2:4242,16060,16060,1621714788645815139
10.1.1.2:4242,11680,8926,1621714788655575914
10.1.1.2:4242,11680,10330,1621714791168556225
10.1.1.2:4242,11680,8980,1621714791168626720
10.1.1.2:4242,11680,7630,1621714791168696870
10.1.1.2:4242,11680,6280,1621714791168762193
10.1.1.2:4242,11680,4930,1621714791168839868
10.1.1.2:4242,11680,3580,1621714791168910180
10.1.1.2:4242,11680,2230,1621714791168990769
10.1.1.2:4242,11680,880,1621714791169066343
10.1.1.2:4242,11680,0,1621714791169144970
10.1.1.2:4242,11680,10330,1621714791169226101
10.1.1.2:4242,11680,8980,1621714791169291631
10.1.1.2:4242,11680,7630,1621714791169348807
10.1.1.2:4242,11680,6280,1621714791169403172
10.1.1.2:4242,11680,4930,1621714791169461686
10.1.1.2:4242,11680,3580,1621714791169517115
10.1.1.2:4242,11680,2230,1621714791169575373
10.1.1.2:4242,11680,880,1621714791169631162
10.1.1.2:4242,11680,0,1621714791169702930
10.1.1.2:4242,13140,990,1621714791200166646
10.1.1.2:4242,13140,0,1621714791200230554
10.1.1.2:4242,14600,1100,1621714791200310882
10.1.1.2:4242,14600,0,1621714791200373613
10.1.1.2:4242,16060,1210,1621714791200554629
10.1.1.2:4242,16060,0,1621714791200634207
10.1.1.2:4242,17520,1320,1621714791200775145
10.1.1.2:4242,17520,0,1621714791200846687
10.1.1.2:4242,18980,1430,1621714791200943938
10.1.1.2:4242,18980,80,1621714791201019073
10.1.1.2:4242,18980,0,1621714791201085365
10.1.1.2:4242,20440,190,1621714791201173287
10.1.1.2:4242,20440,0,1621714791201244640
10.1.1.2:4242,21900,300,1621714791201329044
10.1.1.2:4242,21900,0,1621714791201395261
10.1.1.2:4242,23360,410,1621714791201482752
10.1.1.2:4242,23360,0,1621714791201552867
10.1.1.2:4242,24820,520,1621714791201636389
10.1.1.2:4242,24820,0,1621714791201695171
10.1.1.2:4242,13140,990,1621714791220536274
10.1.1.2:4242,13140,0,1621714791220608952
10.1.1.2:4242,14600,1100,1621714791220749946
10.1.1.2:4242,14600,0,1621714791220813629
10.1.1.2:4242,16060,1210,1621714791221244945
10.1.1.2:4242,16060,0,1621714791221316882
10.1.1.2:4242,17520,1320,1621714791221407277
10.1.1.2:4242,17520,0,1621714791221479861
10.1.1.2:4242,18980,1712,1621714791221570172
10.1.1.2:4242,27740,4790,1621714791231086597
10.1.1.2:4242,33580,20080,1621714791232584306
10.1.1.2:4242,24820,18352,1621714791273719477
10.1.1.2:4242,11680,10330,1621714795895302052
10.1.1.2:4242,11680,8980,1621714795895366701
10.1.1.2:4242,11680,7630,1621714795895439335
10.1.1.2:4242,11680,6280,1621714795895514047
10.1.1.2:4242,11680,4930,1621714795895577805
10.1.1.2:4242,11680,3580,1621714795895646342
10.1.1.2:4242,11680,2230,1621714795895710250
10.1.1.2:4242,11680,880,1621714795895767379
10.1.1.2:4242,11680,773,1621714795895799721
10.1.1.2:4242,14600,6393,1621714795926219200
10.1.1.2:4242,14600,14600,1621714795928851668
10.1.1.2:4242,11680,10330,1621714797529289975
10.1.1.2:4242,11680,8980,1621714797529360062
10.1.1.2:4242,11680,7630,1621714797529431339
10.1.1.2:4242,11680,6280,1621714797529491796
10.1.1.2:4242,11680,4930,1621714797529566571
10.1.1.2:4242,11680,3580,1621714797529626357
10.1.1.2:4242,11680,2230,1621714797529685574
10.1.1.2:4242,11680,880,1621714797529750444
10.1.1.2:4242,11680,0,1621714797529816677
10.1.1.2:4242,11680,10330,1621714797529881566
10.1.1.2:4242,11680,8980,1621714797529942781
10.1.1.2:4242,11680,7630,1621714797530003025
10.1.1.2:4242,11680,6280,1621714797530058307
10.1.1.2:4242,11680,4930,1621714797530112362
10.1.1.2:4242,11680,3580,1621714797530170942
10.1.1.2:4242,11680,2230,1621714797530228742
10.1.1.2:4242,11680,880,1621714797530284227
10.1.1.2:4242,11680,0,1621714797530342035
10.1.1.2:4242,13140,990,1621714797560741955
10.1.1.2:4242,13140,0,1621714797560824941
10.1.1.2:4242,14600,1100,1621714797561626761
10.1.1.2:4242,14600,0,1621714797561690808
10.1.1.2:4242,16060,1210,1621714797561824813
10.1.1.2:4242,16060,0,1621714797561888677
10.1.1.2:4242,17520,1320,1621714797561969027
10.1.1.2:4242,17520,0,1621714797562028931
10.1.1.2:4242,18980,1430,1621714797562102203
10.1.1.2:4242,18980,80,1621714797562175177
10.1.1.2:4242,18980,0,1621714797562238717
10.1.1.2:4242,20440,190,1621714797562318281
10.1.1.2:4242,20440,0,1621714797562383751
10.1.1.2:4242,21900,300,1621714797562478300
10.1.1.2:4242,21900,0,1621714797562553134
10.1.1.2:4242,23360,410,1621714797562645231
10.1.1.2:4242,23360,0,1621714797562719150
10.1.1.2:4242,24820,520,1621714797562800515
10.1.1.2:4242,24820,0,1621714797562870247
10.1.1.2:4242,13140,990,1621714797580673887
10.1.1.2:4242,13140,0,1621714797580744733
10.1.1.2:4242,14600,1100,1621714797580835401
10.1.1.2:4242,14600,0,1621714797580899247
10.1.1.2:4242,16060,1210,1621714797580975730
10.1.1.2:4242,16060,0,1621714797581033367
10.1.1.2:4242,17520,2014,1621714797581092128
10.1.1.2:4242,30660,10410,1621714797592845380
10.1.1.2:4242,33580,21430,1621714797594330082
10.1.1.2:4242,21900,18544,1621714797632499731
10.1.1.2:4242,11680,10330,1621714798652120073
10.1.1.2:4242,11680,8980,1621714798652185188
10.1.1.2:4242,11680,7630,1621714798652244568
10.1.1.2:4242,11680,6280,1621714798652305012
10.1.1.2:4242,11680,4930,1621714798652363411
10.1.1.2:4242,11680,3580,1621714798652421551
10.1.1.2:4242,11680,2230,1621714798652479093
10.1.1.2:4242,11680,2164,1621714798652510249
10.1.1.2:4242,13140,4974,1621714798683582534
10.1.1.2:4242,11680,11680,1621714798693713825
10.1.1.2:4242,11680,10330,1621714800457345947
10.1.1.2:4242,11680,8980,1621714800457424509
10.1.1.2:4242,11680,7630,1621714800457501270
10.1.1.2:4242,11680,6280,1621714800457587246
10.1.1.2:4242,11680,4930,1621714800457657272
10.1.1.2:4242,11680,3580,1621714800457717919
10.1.1.2:4242,11680,2230,1621714800457774608
10.1.1.2:4242,11680,880,1621714800457833318
10.1.1.2:4242,11680,0,1621714800457890012
10.1.1.2:4242,11680,10330,1621714800457948925
10.1.1.2:4242,11680,8980,1621714800458005676
10.1.1.2:4242,11680,7630,1621714800458061131
10.1.1.2:4242,11680,6280,1621714800458119259
10.1.1.2:4242,11680,4930,1621714800458185476
10.1.1.2:4242,11680,3580,1621714800458291591
10.1.1.2:4242,11680,2230,1621714800458359276
10.1.1.2:4242,11680,880,1621714800458421051
10.1.1.2:4242,11680,0,1621714800458496175
10.1.1.2:4242,13140,990,1621714800489043530
10.1.1.2:4242,13140,0,1621714800489124970
10.1.1.2:4242,14600,1100,1621714800489234566
10.1.1.2:4242,14600,0,1621714800489305253
10.1.1.2:4242,16060,1210,1621714800489424118
10.1.1.2:4242,16060,0,1621714800489493607
10.1.1.2:4242,17520,1320,1621714800489574375
10.1.1.2:4242,17520,0,1621714800489652424
10.1.1.2:4242,18980,1430,1621714800489748615
10.1.1.2:4242,18980,80,1621714800489814842
10.1.1.2:4242,18980,0,1621714800489884586
10.1.1.2:4242,20440,190,1621714800489965611
10.1.1.2:4242,20440,0,1621714800490030904
10.1.1.2:4242,21900,300,1621714800490110080
10.1.1.2:4242,21900,0,1621714800490169642
10.1.1.2:4242,23360,410,1621714800490246875
10.1.1.2:4242,23360,0,1621714800490309980
10.1.1.2:4242,24820,520,1621714800490390250
10.1.1.2:4242,24820,0,1621714800490448935
10.1.1.2:4242,13140,990,1621714800509574437
10.1.1.2:4242,13140,0,1621714800509641848
10.1.1.2:4242,14600,1100,1621714800509868828
10.1.1.2:4242,14600,0,1621714800509937173
10.1.1.2:4242,16060,1210,1621714800510503862
10.1.1.2:4242,16060,0,1621714800510573651
10.1.1.2:4242,17520,1320,1621714800510654166
10.1.1.2:4242,17520,0,1621714800510725004
10.1.1.2:4242,18980,1430,1621714800511178283
10.1.1.2:4242,18980,80,1621714800511251677
10.1.1.2:4242,18980,0,1621714800511312608
10.1.1.2:4242,20440,190,1621714800511388830
10.1.1.2:4242,20440,0,1621714800511446311
10.1.1.2:4242,21900,300,1621714800511519115
10.1.1.2:4242,21900,0,1621714800511585921
10.1.1.2:4242,23360,410,1621714800511702512
10.1.1.2:4242,23360,0,1621714800511786731
10.1.1.2:4242,24820,520,1621714800511878274
10.1.1.2:4242,24820,0,1621714800511949493
10.1.1.2:4242,26280,630,1621714800519925207
10.1.1.2:4242,26280,0,1621714800519995796
10.1.1.2:4242,27740,740,1621714800520376056
10.1.1.2:4242,27740,0,1621714800520449816
10.1.1.2:4242,29200,850,1621714800520532435
10.1.1.2:4242,29200,0,1621714800520603223
10.1.1.2:4242,29200,0,1621714800520659155
10.1.1.2:4242,30660,960,1621714800520735759
10.1.1.2:4242,30660,0,1621714800520811858
10.1.1.2:4242,32120,1070,1621714800521168239
10.1.1.2:4242,32120,0,1621714800521229128
10.1.1.2:4242,33580,1180,1621714800521337595
10.1.1.2:4242,33580,0,1621714800521415474
10.1.1.2:4242,35040,1290,1621714800521504460
10.1.1.2:4242,35040,0,1621714800521567244
10.1.1.2:4242,36500,1400,1621714800521656208
10.1.1.2:4242,36500,50,1621714800521716407
10.1.1.2:4242,36500,0,1621714800521772653
10.1.1.2:4242,37960,160,1621714800522098408
10.1.1.2:4242,37960,0,1621714800522179620
10.1.1.2:4242,39420,270,1621714800522272101
10.1.1.2:4242,39420,0,1621714800522341439
10.1.1.2:4242,40880,380,1621714800522419214
10.1.1.2:4242,40880,0,1621714800522485882
10.1.1.2:4242,42340,490,1621714800522601056
10.1.1.2:4242,42340,0,1621714800522664231
10.1.1.2:4242,43800,600,1621714800522740767
10.1.1.2:4242,43800,0,1621714800522799611
10.1.1.2:4242,45260,710,1621714800522872493
10.1.1.2:4242,45260,0,1621714800522933687
10.1.1.2:4242,46720,820,1621714800523007562
10.1.1.2:4242,46720,0,1621714800523071805
10.1.1.2:4242,48180,930,1621714800523337382
10.1.1.2:4242,48180,0,1621714800523398745
10.1.1.2:4242,49640,1040,1621714800523480962
10.1.1.2:4242,49640,0,1621714800523545994
10.1.1.2:4242,51100,1150,1621714800523620550
10.1.1.2:4242,51100,0,1621714800523678494
10.1.1.2:4242,52560,1260,1621714800523754001
10.1.1.2:4242,52560,0,1621714800523820193
10.1.1.2:4242,54020,1370,1621714800551828959
10.1.1.2:4242,54020,20,1621714800551909580
10.1.1.2:4242,54020,0,1621714800551979077
10.1.1.2:4242,55480,130,1621714800552476158
10.1.1.2:4242,55480,0,1621714800552548641
10.1.1.2:4242,56940,240,1621714800552637438
10.1.1.2:4242,56940,0,1621714800552698791
10.1.1.2:4242,56940,0,1621714800552736625
10.1.1.2:4242,58400,350,1621714800552811867
10.1.1.2:4242,58400,0,1621714800552882804
10.1.1.2:4242,59860,460,1621714800553624443
10.1.1.2:4242,59860,0,1621714800553685176
10.1.1.2:4242,61320,570,1621714800554424719
10.1.1.2:4242,61320,50,1621714800554480227
10.1.1.2:4242,73000,33330,1621714800560516697
10.1.1.2:4242,30660,10410,1621714800562340449
10.1.1.2:4242,73000,56280,1621714800564058468
10.1.1.2:4242,33580,33580,1621714800574134456
10.1.1.2:4242,11680,10330,1621714803295770551
10.1.1.2:4242,11680,8980,1621714803295855404
10.1.1.2:4242,11680,7630,1621714803295929007
10.1.1.2:4242,11680,6280,1621714803295998731
10.1.1.2:4242,11680,4930,1621714803296069250
10.1.1.2:4242,11680,3580,1621714803296137592
10.1.1.2:4242,11680,2230,1621714803296194257
10.1.1.2:4242,11680,880,1621714803296253130
10.1.1.2:4242,11680,0,1621714803296312138
10.1.1.2:4242,11680,10330,1621714803296368098
10.1.1.2:4242,11680,8980,1621714803296427671
10.1.1.2:4242,11680,7630,1621714803296487127
10.1.1.2:4242,11680,6280,1621714803296546133
10.1.1.2:4242,11680,4930,1621714803296602536
10.1.1.2:4242,11680,3580,1621714803296661078
10.1.1.2:4242,11680,2230,1621714803296718981
10.1.1.2:4242,11680,880,1621714803296778163
10.1.1.2:4242,11680,0,1621714803296833726
10.1.1.2:4242,11680,0,1621714803327278218
10.1.1.2:4242,11680,0,1621714803327926089
10.1.1.2:4242,11680,0,1621714803328168633
10.1.1.2:4242,11680,0,1621714803328254296
10.1.1.2:4242,11680,0,1621714803328913383
10.1.1.2:4242,11680,0,1621714803329137450
10.1.1.2:4242,11680,0,1621714803329197492
10.1.1.2:4242,11680,0,1621714803329277386
10.1.1.2:4242,13140,990,1621714803329366004
10.1.1.2:4242,13140,0,1621714803329425243
10.1.1.2:4242,13140,0,1621714803329503912
10.1.1.2:4242,13140,990,1621714803347214415
10.1.1.2:4242,13140,0,1621714803347288942
10.1.1.2:4242,14600,1100,1621714803347375745
10.1.1.2:4242,14600,0,1621714803347441281
10.1.1.2:4242,16060,1210,1621714803347841502
10.1.1.2:4242,16060,0,1621714803347925444
10.1.1.2:4242,17520,1320,1621714803348043989
10.1.1.2:4242,17520,0,1621714803348110292
10.1.1.2:4242,18980,1430,1621714803348245795
10.1.1.2:4242,18980,80,1621714803348314271
10.1.1.2:4242,18980,0,1621714803348391793
10.1.1.2:4242,20440,190,1621714803348477975
10.1.1.2:4242,20440,0,1621714803348548148
10.1.1.2:4242,21900,300,1621714803348645118
10.1.1.2:4242,21900,0,1621714803348710708
10.1.1.2:4242,23360,410,1621714803348787536
10.1.1.2:4242,23360,0,1621714803348857099
10.1.1.2:4242,24820,520,1621714803348939719
10.1.1.2:4242,24820,0,1621714803349009987
10.1.1.2:4242,13140,0,1621714803358075656
10.1.1.2:4242,13140,0,1621714803358890719
10.1.1.2:4242,13140,0,1621714803359713983
10.1.1.2:4242,13140,0,1621714803360279801
10.1.1.2:4242,13140,0,1621714803360384846
10.1.1.2:4242,13140,0,1621714803360638611
10.1.1.2:4242,13140,0,1621714803360735915
10.1.1.2:4242,14600,1100,1621714803361094940
10.1.1.2:4242,14600,0,1621714803361169243
10.1.1.2:4242,14600,0,1621714803361249520
10.1.1.2:4242,14600,0,1621714803361336473
10.1.1.2:4242,14600,0,1621714803389970740
10.1.1.2:4242,14600,0,1621714803391168389
10.1.1.2:4242,14600,0,1621714803392368127
10.1.1.2:4242,14600,0,1621714803392836999
10.1.1.2:4242,14600,0,1621714803392987366
10.1.1.2:4242,14600,0,1621714803393131603
